name,task,input,min-coldstart,min-latency,max-min-coldstart,max-min-latency
proposed,light,92,-0.4485082702117792,373,0.4063271463838347,1328
proposed,heavy,500,4.906845448129852,1911,4.906845448129852,4696
proposed,heavy,5000,8.485001144950767,2388,8.485001144950767,5566
proposed,heavy,50000,2.949411884804283,8634,2.949411884804283,11171
proposed,heavy,500000,0.9325340483179401,66707,0.9325340483179401,69363
proposed,heavy,5000000,0.7517383458727176,364364,0.7517383458727176,375244
proposed,heavy,50000000,0.08173986246542686,3084982,0.08173986246542686,3097892
wasm,light,92,-0.004160707320244428,595,1.6062295973884657,595
wasm,heavy,500,6.7618764845605694,2846,6.7618764845605694,2940
wasm,heavy,5000,9.08932421772285,2823,9.08932421772285,4510
wasm,heavy,50000,3.2419838430931236,12605,3.2419838430931236,12605
wasm,heavy,500000,0.5826395393620105,66698,0.5826395393620105,68395
wasm,heavy,5000000,0.06082280262818496,645813,0.06082280262818496,647330
wasm,heavy,50000000,0.005798194576438265,6412773,0.0059352133475596425,6449865
container,light,92,3.0321347075463656,62546,3.2969458868135995,74761
container,heavy,500,3.0883414706515246,76041,3.2426495404101567,76041
container,heavy,5000,2.7551476418785152,69050,3.157941729968818,69156
container,heavy,50000,2.644354090487366,70739,3.177313529221828,71779
container,heavy,500000,2.283857695911013,100384,2.6251271681670696,105264
container,heavy,5000000,0.6108976979693161,386008,0.6108976979693161,386008
container,heavy,50000000,0.08844907127354551,3099546,0.34699636114095833,3099671
